,Wcurtt,Scurtt,CleanFirm,Zt,Xt,G1t,G2t,Gngt,BCt,BDt,BXt,lBt,LdCt,LdDt,LdXt,lLdt,TCt,TDt,TXt,lTvt,Gtest,Kstt,Lt,dLt,Lcurtt,Ct,Wt,St,P1,P2,CFE,PNGt
11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,48414.39066181021,0.0,79849.4485885886,5809.726879417225,0.0,0.0,0.0,0.0,11537.51462202273,-1.0913936421275139e-11,336796.57421151537,576.875731101137,-4.038156475871801e-12,0.0,100000.0,5000.0,0.0,0.0,20000.000000000004,139951.90528383292,50,45,0.5,40
12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,123849.4485885886,6000.0,0.0,0.0,0.0,0.0,19211.09841501802,1.8189894035458565e-11,355047.11770578247,960.5549207509018,6.730260793119669e-12,0.0,96646.76596125109,-3353.2340387489094,0.0,0.0,15857.86437626905,150000.0,50,45,0.5,40
13,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,167849.4485885886,6000.0,0.0,0.0,0.0,0.0,10984.631246893041,1.0913936421275139e-11,365482.51739033085,549.2315623446525,4.038156475871801e-12,0.0,91646.76596125109,-5000.0,3353.2340387489094,0.0,12679.491924311224,139951.90528383292,50,45,0.5,40
14,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,36534.717512967494,0.0,200000.0,4384.166101556099,0.0,0.0,0.0,0.0,0.0,-1.1641532182693481e-10,365482.51739033096,0.0,-4.307366907596588e-11,0.0,86646.76596125109,-5000.0,8353.23403874891,0.0,10681.483474218632,112500.00000000001,50,45,0.5,40
15,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,3353.234038748924,2.1827872842550278e-11,368668.0897271424,167.66170193744634,8.076312951743602e-12,0.0,81646.76596125109,-5000.0,13353.23403874891,0.0,10000.0,75000.00000000001,50,45,0.5,40
16,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,76933.19591089856,291734.89381624386,0.0,28465.282487032466,1.0,76646.76596125109,-5000.0,18353.23403874891,0.0,10681.483474218632,37499.99999999999,50,45,0.5,40
17,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11919.179320772746,188080.82067922724,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,191734.89381624386,0.0,37000.0,1.0,71646.76596125109,-5000.0,23353.23403874891,0.0,12679.491924311227,10048.094716167121,50,45,0.5,40
18,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13788.901584982043,174291.9190942452,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,91734.89381624386,0.0,37000.0,1.0,66646.76596125109,-5000.0,28353.23403874891,0.0,15857.864376269046,2.2496396739927862e-27,50,45,0.5,40
19,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7704.855249240871,166587.0638450043,0.0,0.0,0.0,0.0,0.0,0.0,91734.89381624386,0.0,0.0,33941.91071201023,1.0,61646.76596125109,-5000.0,33353.23403874891,0.0,19999.999999999993,0.0,50,45,0.5,40
20,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,31823.146863301503,134763.9169817028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,56646.76596125109,-5000.0,38353.23403874891,0.0,24823.619097949588,0.0,50,45,0.5,40
21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,21646.765961251094,113117.1510204517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51646.76596125109,-5000.0,43353.23403874891,0.0,29999.999999999996,0.0,50,45,0.5,40
22,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11470.38505920069,101646.765961251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46646.76596125109,-5000.0,48353.23403874891,0.0,35176.380902050405,0.0,50,45,0.5,40
23,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1646.7659612511052,99999.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41646.76596125109,-5000.0,53353.23403874891,0.0,39999.999999999985,0.0,50,45,0.5,40
24,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44142.13562373095,2495.3696624798613,50857.86437626905,0.0,44142.13562373095,0.0,50,45,0.5,40
25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99999.9999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,47320.50807568878,3178.3724519578245,47679.49192431122,0.0,47320.50807568878,0.0,50,45,0.5,40
26,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1799.219526961475,98200.78047303842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51117.73605274284,3797.2279770540626,43882.26394725716,0.0,49318.516525781364,0.0,50,45,0.5,40
27,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6117.736052742839,92083.04442029558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56117.73605274284,5000.0,38882.26394725716,0.0,50000.0,0.0,50,45,0.5,40
28,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11799.219526961475,80283.82489333411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61117.73605274284,5000.0,33882.26394725716,0.0,49318.516525781364,0.0,50,45,0.5,40
29,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,18797.227977054063,61486.59691628005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66117.73605274284,5000.0,28882.26394725716,0.0,47320.50807568878,0.0,50,45,0.5,40
30,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26975.600429011887,34510.99648726816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,71117.73605274284,5000.0,23882.26394725716,0.0,44142.13562373095,0.0,50,45,0.5,40
31,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26069.641336575733,8441.355150692427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76117.73605274284,5000.0,18882.26394725716,0.0,40000.00000000001,10048.0947161671,50,45,0.5,40
32,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8441.355150692427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81117.73605274284,5000.0,13882.26394725716,0.0,35176.38090205042,37499.99999999999,50,45,0.5,40
33,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,15392.427518568877,0.0,13545.336216340611,1847.091302228265,0.0,0.0,0.0,0.0,3489.8364286881515,-4.547473508864641e-13,3315.344607253744,174.49182143440774,-1.6825651982799172e-13,0.0,86117.73605274284,5000.0,8882.26394725716,0.0,30000.000000000004,74999.99999999999,50,45,0.5,40
34,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,46205.88304520672,0.0,54206.513296122524,5544.705965424806,0.0,0.0,0.0,0.0,0.0,0.0,3315.344607253744,0.0,0.0,0.0,91117.73605274284,5000.0,3882.263947257161,0.0,24823.619097949584,112499.99999999999,50,45,0.5,40
35,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,54206.513296122524,0.0,0.0,0.0,0.0,0.0,71198.37190119943,-4.092726157978177e-12,70953.7979133932,3559.9185950599745,-1.5143086784519255e-12,0.0,88753.5333826335,-2364.202670109342,6246.466617366503,0.0,20000.000000000004,139951.90528383292,50,45,0.5,40
36,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,98206.51329612252,6000.0,0.0,0.0,0.0,0.0,32104.33099363555,-3.637978807091713e-12,101452.91235734697,1605.216549681779,-1.3460521586239338e-12,0.0,83753.5333826335,-5000.0,11246.466617366503,0.0,15857.86437626905,150000.0,50,45,0.5,40
37,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,50000.0,0.0,142206.51329612252,6000.0,0.0,0.0,0.0,0.0,23877.863825510616,0.0,124136.88299158205,1193.8931912755318,0.0,0.0,78753.5333826335,-5000.0,16246.466617366503,0.0,12679.491924311224,139951.90528383292,50,45,0.5,40
38,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,49427.95009158515,0.0,185703.10937671748,5931.354010990218,0.0,0.0,0.0,0.0,0.0,0.0,124136.88299158205,0.0,0.0,0.0,73753.5333826335,-5000.0,21246.466617366503,0.0,10681.483474218632,112500.00000000001,50,45,0.5,40
39,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16246.466617366517,0.0,200000.0,1949.575994083982,0.0,0.0,0.0,0.0,0.0,0.0,124136.88299158205,0.0,0.0,0.0,68753.5333826335,-5000.0,26246.466617366503,0.0,10000.0,75000.00000000001,50,45,0.5,40
40,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15572.049908414869,184427.95009158514,0.0,0.0,0.0,0.0,0.0,0.0,1.4551915228366852e-11,124136.88299158204,0.0,5.384208634495735e-12,0.0,63753.5333826335,-5000.0,31246.466617366503,0.0,10681.483474218632,37499.99999999999,50,45,0.5,40
41,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4895.300035269795,179532.65005631535,0.0,0.0,0.0,0.0,0.0,0.0,84136.88299158204,39999.99999999999,0.0,31130.646706885353,1.0,58753.5333826335,-5000.0,36246.4666173665,0.0,12679.491924311227,10048.094716167121,50,45,0.5,40
42,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,37895.66900636445,141636.9810499509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39999.99999999999,0.0,0.0,0.0,53753.5333826335,-5000.0,41246.4666173665,0.0,15857.864376269046,2.2496396739927862e-27,50,45,0.5,40
43,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28753.533382633508,112883.44766731739,0.0,0.0,0.0,0.0,0.0,0.0,-7.275957614183426e-12,40000.0,0.0,-2.6921043172478676e-12,0.0,48753.5333826335,-5000.0,46246.4666173665,0.0,19999.999999999993,0.0,50,45,0.5,40
44,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4129.9142846839095,108753.53338263348,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,0.0,0.0,14800.0,1.0,43753.5333826335,-5000.0,51246.4666173665,0.0,24823.619097949588,0.0,50,45,0.5,40
45,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8753.5333826335,99999.99999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,38753.5333826335,-5000.0,56246.4666173665,0.0,29999.999999999996,0.0,50,45,0.5,40
46,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1422.8475194169005,0.0,101252.10581708686,170.74170233002806,0.0,0.0,0.0,0.0,0.0,-1.2290468942877408e-12,1.2290468942877408e-12,0.0,-4.547473508864641e-13,0.0,33753.5333826335,-5000.0,61246.4666173665,0.0,35176.380902050405,0.0,50,45,0.5,40
47,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3012.0970288613757,0.0,103902.75120248491,361.4516434633651,0.0,0.0,0.0,0.0,0.0,1.2290468942877408e-12,0.0,0.0,4.547473508864641e-13,0.0,36987.90297113861,3234.369588505113,58012.09702886139,0.0,39999.999999999985,0.0,50,45,0.5,40
48,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2154.2326525923413,0.0,105798.47593676618,258.50791831108097,0.0,0.0,0.0,0.0,7.012295310508313e-13,6.661680544982897e-13,0.0,3.5061476552541595e-14,2.4648218016436717e-13,0.0,41987.90297113861,5000.0,53012.09702886139,0.0,44142.13562373095,0.0,50,45,0.5,40
49,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,332.6051045501663,0.0,106091.16842877032,39.91261254601995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46987.90297113861,5000.0,48012.09702886139,0.0,47320.50807568878,0.0,50,45,0.5,40
50,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2669.386445357246,103421.78198341308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51987.90297113861,5000.0,43012.09702886139,0.0,49318.516525781364,0.0,50,45,0.5,40
51,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6987.90297113861,96433.87901227447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56987.90297113861,5000.0,38012.09702886139,0.0,50000.0,0.0,50,45,0.5,40
52,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,12669.386445357246,83764.49256691722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61987.90297113861,5000.0,33012.09702886139,0.0,49318.516525781364,0.0,50,45,0.5,40
